decade,Wildfire_killed_byDec,Volcano_killed_byDec,Flood_killed_byDec,Extreme_temp_killed_byDec,Epidemic_killed_byDec,Earthquake_killed_byDec,Drought_killed_byDec,Storm_killed_byDec
1900,0,4494,63,0,300007,17302,126100,1801
1910,107,648,10138,0,300970,6280,8500,5995
1920,10,514,428,0,332300,54935,472400,11999
1930,7,318,436147,169,202,23770,0,9384
1940,25,213,10103,0,1178,16187,345000,12712
1950,1,515,206170,150,48,2087,0,3526
1960,7,324,3239,113,947,5236,151065,13393
1970,1,54,5078,155,991,44022,11908,35734
1980,40,2400,5155,534,4390,6015,55727,4673
1990,86,97,9549,932,9170,10359,313,21117
2000,64,24,5401,9116,5857,45363,114,17222
2010,50,82,6992,15276,4000,62378,0,4230